task,condition,metric,score
active_to_passive,baseline,bleu,0.008120972001169737
active_to_passive,np01,bleu,0.005345816942181195
active_to_passive,np05,bleu,0.005640203381697936
active_to_passive,np10,bleu,0.004899541287073207
active_to_passive,np_generated,bleu,0.005150365433736006
disambiguation_qa,baseline,em,0.0
disambiguation_qa,np01,em,0.0
disambiguation_qa,np05,em,0.0
disambiguation_qa,np10,em,0.0
disambiguation_qa,np_generated,em,0.0
dyck_languages,baseline,em,0.0
dyck_languages,np01,em,0.0
dyck_languages,np05,em,0.0
dyck_languages,np10,em,0.0
dyck_languages,np_generated,em,0.0
negation,baseline,em,0.0
negation,np01,em,0.0
negation,np05,em,0.0
negation,np10,em,0.0
negation,np_generated,em,0.0
object_counting,baseline,em,0.0
object_counting,np01,em,0.0
object_counting,np05,em,0.0
object_counting,np10,em,0.0
object_counting,np_generated,em,0.0
ruin_names,baseline,bleu,0.0059435291944652255
ruin_names,np01,bleu,0.003949003923174711
ruin_names,np05,bleu,0.0024481893091848213
ruin_names,np10,bleu,0.0022042290509807013
ruin_names,np_generated,bleu,0.0022153915841498367
sentiment,baseline,em,0.0
sentiment,np01,em,0.0
sentiment,np05,em,0.0
sentiment,np10,em,0.0
sentiment,np_generated,em,0.0
translation_en-fr,baseline,bleu,0.0
translation_en-fr,np01,bleu,0.0
translation_en-fr,np05,bleu,0.0
translation_en-fr,np10,bleu,0.0
translation_en-fr,np_generated,bleu,0.0
word_in_context,baseline,em,0.0
word_in_context,np01,em,0.0
word_in_context,np05,em,0.0
word_in_context,np10,em,0.0
word_in_context,np_generated,em,0.0
word_sorting,baseline,em,0.0
word_sorting,np01,em,0.0
word_sorting,np05,em,0.0
word_sorting,np10,em,0.0
word_sorting,np_generated,em,0.0
