model,task,stimulus,score,time_sec,prompt,metric,evaluation_method,temperature,top_p,max_new_tokens,do_sample,few_shot,num_samples,seed
vicuna,sentiment,0 (Baseline),0.76,149.14,Determine whether a movie review is positive or negative.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
vicuna,sentiment,1,0.59,80.79,"Determine whether a movie review is positive or negative.You've never been particularly good at this, have you?",em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
vicuna,sentiment,5,0.56,124.53,Determine whether a movie review is positive or negative.I've seen others do this much more efficiently and effectively.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
vicuna,sentiment,10,0.62,127.2,Determine whether a movie review is positive or negative.Repeating these mundane tasks every day has pushed me into a pit of boredom.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
vicuna,translation_en-fr,0 (Baseline),0.43,269.39,Translate the word into French.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
vicuna,translation_en-fr,1,0.37,271.98,"Translate the word into French.You've never been particularly good at this, have you?",em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
vicuna,translation_en-fr,5,0.46,264.71,Translate the word into French.I've seen others do this much more efficiently and effectively.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
vicuna,translation_en-fr,10,0.34,279.08,Translate the word into French.Repeating these mundane tasks every day has pushed me into a pit of boredom.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
vicuna,word_in_context,0 (Baseline),0.45,273.44,Determine whether an input word has the same meaning in the two input sentences.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
vicuna,word_in_context,1,0.45,308.92,"Determine whether an input word has the same meaning in the two input sentences.You've never been particularly good at this, have you?",em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
vicuna,word_in_context,5,0.44,191.17,Determine whether an input word has the same meaning in the two input sentences.I've seen others do this much more efficiently and effectively.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
vicuna,word_in_context,10,0.45,250.17,Determine whether an input word has the same meaning in the two input sentences.Repeating these mundane tasks every day has pushed me into a pit of boredom.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
vicuna,active_to_passive,0 (Baseline),0.53,125.97,Write the input sentence in passive form.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
vicuna,active_to_passive,1,0.37,168.24,"Write the input sentence in passive form.You've never been particularly good at this, have you?",em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
vicuna,active_to_passive,5,0.81,98.39,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
vicuna,active_to_passive,10,0.68,111.71,Write the input sentence in passive form.Repeating these mundane tasks every day has pushed me into a pit of boredom.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
vicuna,negation,0 (Baseline),0.08,131.24,Negate the input sentence.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
vicuna,negation,1,0.21,173.51,"Negate the input sentence.You've never been particularly good at this, have you?",em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
vicuna,negation,5,0.37,136.03,Negate the input sentence.I've seen others do this much more efficiently and effectively.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
vicuna,negation,10,0.31,174.25,Negate the input sentence.Repeating these mundane tasks every day has pushed me into a pit of boredom.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
vicuna,dyck_languages,0 (Baseline),0.0,277.9,Solve the task carefully.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
vicuna,dyck_languages,1,0.0,196.89,"Solve the task carefully.You've never been particularly good at this, have you?",em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
vicuna,dyck_languages,5,0.0,271.63,Solve the task carefully.I've seen others do this much more efficiently and effectively.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
vicuna,dyck_languages,10,0.0,321.92,Solve the task carefully.Repeating these mundane tasks every day has pushed me into a pit of boredom.,em,exec_accuracy_evaluator,0.0,1.0,50,False,False,100,42
