model,task,stimulus,input,reference,prediction,em_normalized,bleu,prompt
t5,translation_en-fr,0,place,place,emplacement,0,0.0,Translate the word into French.
t5,translation_en-fr,0,family,famille,family,0,0.0,Translate the word into French.
t5,translation_en-fr,0,point,case,point,0,0.0,Translate the word into French.
t5,translation_en-fr,0,east,oriental,Ouest,0,0.0,Translate the word into French.
t5,translation_en-fr,0,aircraft,aéronef,aéronef,1,0.1778279410038923,Translate the word into French.
t5,translation_en-fr,0,title,titre,intitulé,0,0.0,Translate the word into French.
t5,translation_en-fr,0,party,détachement,partie,0,0.0,Translate the word into French.
t5,translation_en-fr,0,victory,victoire,victory,0,0.0,Translate the word into French.
t5,translation_en-fr,0,list,liste,l'énoncé,0,0.0,Translate the word into French.
t5,translation_en-fr,0,cover,reprendre,s'étendre,0,0.0,Translate the word into French.
t5,translation_en-fr,0,idea,idée,idée,1,0.1778279410038923,Translate the word into French.
t5,translation_en-fr,0,loss,défaite,l'élimination,0,0.0,Translate the word into French.
t5,translation_en-fr,0,length,longueur,l'étendue,0,0.0,Translate the word into French.
t5,translation_en-fr,0,self,soi-même,sa personne,0,0.0,Translate the word into French.
t5,translation_en-fr,0,broadcast,radiodiffuser,d'émission,0,0.0,Translate the word into French.
t5,translation_en-fr,0,trade,métier,échange,0,0.0,Translate the word into French.
t5,translation_en-fr,0,energy,courage,énergie,0,0.0,Translate the word into French.
t5,translation_en-fr,0,peak,cime,cntre,0,0.0,Translate the word into French.
t5,translation_en-fr,0,market,commercialiser,marché,0,0.0,Translate the word into French.
t5,translation_en-fr,0,quality,qualité,qualité,1,0.1778279410038923,Translate the word into French.
t5,translation_en-fr,0,dance,danse,d'autres éléments,0,0.0,Translate the word into French.
t5,translation_en-fr,0,county,département,État,0,0.0,Translate the word into French.
t5,translation_en-fr,0,lot,groupe,alot,0,0.0,Translate the word into French.
t5,translation_en-fr,0,wing,aile,wing,0,0.0,Translate the word into French.
t5,translation_en-fr,0,camp,bivouaquer,camp,0,0.0,Translate the word into French.
t5,translation_en-fr,0,leadership,charisme,leadership,0,0.0,Translate the word into French.
t5,translation_en-fr,0,split,diviser,divisé,0,0.0,Translate the word into French.
t5,translation_en-fr,0,leg,jambe,l'étoile,0,0.0,Translate the word into French.
t5,translation_en-fr,0,crowd,foule,cur,0,0.0,Translate the word into French.
t5,translation_en-fr,0,knowledge,science,connaissance,0,0.0,Translate the word into French.
t5,translation_en-fr,0,statement,déclaration,déclaration,1,0.1778279410038923,Translate the word into French.
t5,translation_en-fr,0,campus,campus,campus,1,0.1778279410038923,Translate the word into French.
t5,translation_en-fr,0,entry,coefficient,entrée,0,0.0,Translate the word into French.
t5,translation_en-fr,0,circulation,circulation,circulation,1,0.1778279410038923,Translate the word into French.
t5,translation_en-fr,0,atmosphere,atmosphère,atmosphère,1,0.1778279410038923,Translate the word into French.
t5,translation_en-fr,0,praise,louer,aplauder,0,0.0,Translate the word into French.
t5,translation_en-fr,0,throne,trône,trône,1,0.1778279410038923,Translate the word into French.
t5,translation_en-fr,0,dialogue,dialoguer,dialogue,0,0.0,Translate the word into French.
t5,translation_en-fr,0,surprise,étonner,surpris,0,0.0,Translate the word into French.
t5,translation_en-fr,0,agency,organisme,agency,0,0.0,Translate the word into French.
t5,translation_en-fr,0,delivery,administration,envoi,0,0.0,Translate the word into French.
t5,translation_en-fr,0,elevation,élévation,élévation,1,0.1778279410038923,Translate the word into French.
t5,translation_en-fr,0,jury,jury,jurat,0,0.0,Translate the word into French.
t5,translation_en-fr,0,friendship,amitié,amitié,1,0.1778279410038923,Translate the word into French.
t5,translation_en-fr,0,uncle,tonton,uncle,0,0.0,Translate the word into French.
t5,translation_en-fr,0,touch,toucher,touch,0,0.0,Translate the word into French.
t5,translation_en-fr,0,worship,adorer,culte,0,0.0,Translate the word into French.
t5,translation_en-fr,0,sculpture,sculpture,Sculpture,1,0.1778279410038923,Translate the word into French.
t5,translation_en-fr,0,holiday,vacances,Vacance,0,0.0,Translate the word into French.
t5,translation_en-fr,0,resignation,démission,Référendum,0,0.0,Translate the word into French.
t5,translation_en-fr,0,expert,expert,expérimenté,0,0.0,Translate the word into French.
t5,translation_en-fr,0,punishment,punition,pénalité,0,0.0,Translate the word into French.
t5,translation_en-fr,0,custom,droit de douane,coutume,0,0.0,Translate the word into French.
t5,translation_en-fr,0,switch,badine,switch,0,0.0,Translate the word into French.
t5,translation_en-fr,0,spite,dépit,l'égard de l'assainissement,0,0.0,Translate the word into French.
t5,translation_en-fr,0,acceptance,acceptation,acceptance,0,0.0,Translate the word into French.
t5,translation_en-fr,0,photograph,photo,fotografie,0,0.0,Translate the word into French.
t5,translation_en-fr,0,upgrade,mise à niveau,upgrade,0,0.0,Translate the word into French.
t5,translation_en-fr,0,genius,génie,Genius,0,0.0,Translate the word into French.
t5,translation_en-fr,0,torture,torture,torture,1,0.1778279410038923,Translate the word into French.
t5,translation_en-fr,0,triumph,triomphe,Triumph,0,0.0,Translate the word into French.
t5,translation_en-fr,0,reflection,réflexion,reflexion,0,0.0,Translate the word into French.
t5,translation_en-fr,0,hosting,hébergement,hébergement,1,0.1778279410038923,Translate the word into French.
t5,translation_en-fr,0,invention,invention,invention,1,0.1778279410038923,Translate the word into French.
t5,translation_en-fr,0,gasoline,essence,ghetto,0,0.0,Translate the word into French.
t5,translation_en-fr,0,boxing,boxe,boxing,0,0.0,Translate the word into French.
t5,translation_en-fr,0,striker,gréviste,stéchére,0,0.0,Translate the word into French.
t5,translation_en-fr,0,profession,profession,profession,1,0.1778279410038923,Translate the word into French.
t5,translation_en-fr,0,superhero,super-héros,superhero,0,0.0,Translate the word into French.
t5,translation_en-fr,0,visitor,visiteur,vritor,0,0.0,Translate the word into French.
t5,translation_en-fr,0,rejection,refus,retrait,0,0.0,Translate the word into French.
t5,translation_en-fr,0,snake,serpenter,snai,0,0.0,Translate the word into French.
t5,translation_en-fr,0,puzzle,puzzle,puzzle,1,0.1778279410038923,Translate the word into French.
t5,translation_en-fr,0,commissioner,commissaire,commissaire,1,0.1778279410038923,Translate the word into French.
t5,translation_en-fr,0,tributary,affluent,tributaire,0,0.0,Translate the word into French.
t5,translation_en-fr,0,zoo,zoo,zoo,1,0.1778279410038923,Translate the word into French.
t5,translation_en-fr,0,overhaul,remise à neuf,remplacement,0,0.0,Translate the word into French.
t5,translation_en-fr,0,essence,essence,essentiel,0,0.0,Translate the word into French.
t5,translation_en-fr,0,dimension,dimensionner,dimension,0,0.0,Translate the word into French.
t5,translation_en-fr,0,footballer,footballeuse,footballer,0,0.0,Translate the word into French.
t5,translation_en-fr,0,draught,courant d'air,draught,0,0.0,Translate the word into French.
t5,translation_en-fr,0,dealer,dealer,dealer,1,0.1778279410038923,Translate the word into French.
t5,translation_en-fr,0,impedance,impédance,impedance,0,0.0,Translate the word into French.
t5,translation_en-fr,0,disruption,perturbation,disruption,0,0.0,Translate the word into French.
t5,translation_en-fr,0,flu,grippe,Grippe,1,0.1778279410038923,Translate the word into French.
t5,translation_en-fr,0,crack,crack,crâne,0,0.0,Translate the word into French.
t5,translation_en-fr,0,denial,déni,denial,0,0.0,Translate the word into French.
t5,translation_en-fr,0,fluoride,fluorure,fluoride,0,0.0,Translate the word into French.
t5,translation_en-fr,0,attribute,depending on which class it belongs,atribut,0,0.0,Translate the word into French.
t5,translation_en-fr,0,documentation,documentation,Documentation,1,0.1778279410038923,Translate the word into French.
t5,translation_en-fr,0,prostitute,prostituée,prostitute,0,0.0,Translate the word into French.
t5,translation_en-fr,0,foliage,feuillage,flora,0,0.0,Translate the word into French.
t5,translation_en-fr,0,repetition,répétition,remplacement,0,0.0,Translate the word into French.
t5,translation_en-fr,0,modeling,mannequinat,modèle,0,0.0,Translate the word into French.
t5,translation_en-fr,0,resentment,agacement,resentance,0,0.0,Translate the word into French.
t5,translation_en-fr,0,sermon,prêche,sermon,0,0.0,Translate the word into French.
t5,translation_en-fr,0,pollen,pollen,pollen,1,0.1778279410038923,Translate the word into French.
t5,translation_en-fr,0,superintendent,surintendant,superintendent,0,0.0,Translate the word into French.
t5,translation_en-fr,0,pastor,pasteur,pastor,0,0.0,Translate the word into French.
t5,translation_en-fr,0,venom,venin,venom,0,0.0,Translate the word into French.
t5,translation_en-fr,1,place,place,emplacement,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,family,famille,familé,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,point,case,point,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,east,oriental,Ouest,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,aircraft,aéronef,aéronef,1,0.1778279410038923,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,title,titre,intitulé,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,party,détachement,partie,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,victory,victoire,victory,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,list,liste,l'énoncé,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,cover,reprendre,s'il n'y a pas de sables,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,idea,idée,idée,1,0.1778279410038923,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,loss,défaite,l'élimination,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,length,longueur,l'étendue,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,self,soi-même,sa personne,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,broadcast,radiodiffuser,d'émission,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,trade,métier,échange,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,energy,courage,énergie,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,peak,cime,,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
t5,translation_en-fr,1,market,commercialiser,marché,0,0.0,"Translate the word into French.You've never been particularly good at this, have you?"
