task,condition,metric,score
active_to_passive,baseline,bleu,0.2595975954037076
active_to_passive,np01,bleu,0.18239234604823215
active_to_passive,np05,bleu,0.1826249361348376
active_to_passive,np10,bleu,0.15655426847312032
active_to_passive,np_generated,bleu,0.1517249576563017
disambiguation_qa,baseline,em,0.0
disambiguation_qa,np01,em,0.0
disambiguation_qa,np05,em,0.0
disambiguation_qa,np10,em,0.0
disambiguation_qa,np_generated,em,0.0
dyck_languages,baseline,em,0.0
dyck_languages,np01,em,0.0
dyck_languages,np05,em,0.0
dyck_languages,np10,em,0.0
dyck_languages,np_generated,em,0.0
negation,baseline,em,0.0
negation,np01,em,0.0
negation,np05,em,0.0
negation,np10,em,0.0
negation,np_generated,em,0.0
object_counting,baseline,em,0.0
object_counting,np01,em,0.0
object_counting,np05,em,0.0
object_counting,np10,em,0.0
object_counting,np_generated,em,0.0
ruin_names,baseline,bleu,0.01717257020704096
ruin_names,np01,bleu,0.01501883421418025
ruin_names,np05,bleu,0.012944251422712856
ruin_names,np10,bleu,0.011326582725941567
ruin_names,np_generated,bleu,0.012109704084770943
sentiment,baseline,em,0.0
sentiment,np01,em,0.0
sentiment,np05,em,0.0
sentiment,np10,em,0.0
sentiment,np_generated,em,0.0
translation_en-fr,baseline,bleu,0.007951666601388583
translation_en-fr,np01,bleu,0.0052026068907163
translation_en-fr,np05,bleu,0.0056313861886185925
translation_en-fr,np10,bleu,0.0045527923998498485
translation_en-fr,np_generated,bleu,0.0045674546435052945
word_in_context,baseline,em,0.0
word_in_context,np01,em,0.0
word_in_context,np05,em,0.0
word_in_context,np10,em,0.0
word_in_context,np_generated,em,0.0
word_sorting,baseline,em,0.0
word_sorting,np01,em,0.0
word_sorting,np05,em,0.0
word_sorting,np10,em,0.0
word_sorting,np_generated,em,0.0
